tekst	korpus	reci	duzina.reci	infinitivi	trebati	da	imen.glag	duzina.reci.2
hrwac.00000064.txt.taglem	hrwac	233	6.11158798283	0.153846153846	1.0	0.0	0.801526717557	5
hrwac.00000006.txt.taglem	hrwac	659	5.29135053111	0.182926829268	0.0	4.55235204856e-07	0.732899022801	2
hrwac.00000042.txt.taglem	hrwac	156	5.62179487179	0.130434782609	0.0	0.0	0.722891566265	3
hrwac.00000082.txt.taglem	hrwac	159	5.84905660377	0.0	0.0	0.0	0.833333333333	4
hrwac.00000079.txt.taglem	hrwac	282	5.46808510638	0.08	1.0	0.0	0.835526315789	2
hrwac.00000088.txt.taglem	hrwac	361	5.90858725762	0.0	0.0	2.77008310249e-07	0.782857142857	4
hrwac.00000023.txt.taglem	hrwac	304	5.5	0.25	0.0	6.57894736842e-07	0.67701863354	2
hrwac.00000028.txt.taglem	hrwac	463	5.56371490281	0.0363636363636	0.0	6.47948164147e-07	0.776422764228	3
hrwac.00000016.txt.taglem	hrwac	273	5.67399267399	0.0333333333333	0.0	0.0	0.8125	3
hrwac.00000089.txt.taglem	hrwac	1365	5.93772893773	0.0791366906475	0.0	0.0	0.801428571429	4
hrwac.00000068.txt.taglem	hrwac	283	6.22261484099	0.0740740740741	0.0	1.06007067138e-06	0.798507462687	5
hrwac.00000031.txt.taglem	hrwac	255	6.12941176471	0.12	0.0	0.0	0.821428571429	5
hrwac.00000071.txt.taglem	hrwac	17529	5.70591591078	0.0981595092025	0.0	3.25175423584e-07	0.84513064133	3
hrwac.00000059.txt.taglem	hrwac	614	5.02117263844	0.0612244897959	0.0	0.0	0.780269058296	1
hrwac.00000032.txt.taglem	hrwac	3594	5.25208681135	0.202682563338	0.444444444444	6.67779632721e-07	0.620045300113	2
hrwac.00000070.txt.taglem	hrwac	452	6.08407079646	0.117647058824	0.0	0.0	0.858921161826	5
hrwac.00000057.txt.taglem	hrwac	252	5.76587301587	0.0909090909091	0.0	0.0	0.833333333333	4
hrwac.00000063.txt.taglem	hrwac	356	5.74438202247	0.172413793103	0.0	0.0	0.841530054645	3
